title,brand,model,type,year,transmisi,qty,avg_price,low_price,mid_price,new_price,price_per_mile,m_mile
Toyota Alphard G Automatic 2021,Toyota,Alphard,G,2021,Automatic,120," 878,425,000 "," 730,000,000 "," 804,212,500 ",1259950000," 14,289.01 ",37087.95
Toyota Alphard G Automatic 2022,Toyota,Alphard,G,2022,Automatic,148," 965,215,541 "," 790,000,000 "," 877,607,770 ",1312050000," 23,078.86 ",22620.27027
Toyota Fortuner GR Sport 4X2 Automatic 2023,Toyota,Fortuner,GR Sport 4X2,2023,Automatic,40," 512,737,500 "," 442,000,000 "," 477,368,750 ",607900000," 6,189.57 ",26803.175
Mercedes-Benz GLC200 AMG Line Automatic 2021,Mercedes-Benz,GLC200,AMG Line,2021,Automatic,54," 744,870,370 "," 615,000,000 "," 679,935,185 ",1035000000," 22,862.90 ",18370.37037
Toyota Alphard G Automatic 2023,Toyota,Alphard,G,2023,Automatic,72," 1,037,847,244 "," 790,000,000 "," 913,923,622 ",1356100000," 33,940.54 ",16679.16667
Honda Brio RS Automatic 2023,Honda,Brio,RS,2023,Automatic,84," 190,369,048 "," 153,000,000 "," 171,684,524 ",233900000," 3,765.68 ",21483.4881
Toyota Calya G Automatic 2018,Toyota,Calya,G,2018,Automatic,76," 113,690,789 "," 90,000,000 "," 101,845,395 ",150650000, 787.36 ,77029.52632
Honda HR-V E Automatic 2017,Honda,HR-V,E,2017,Automatic,88," 187,193,182 "," 159,000,000 "," 173,096,591 ",298000000," 1,649.20 ",84283.36364
Toyota Raize GR Sport (2 Tone) Automatic 2021,Toyota,Raize,GR Sport (2 Tone),2021,Automatic,67," 196,447,761 "," 175,000,000 "," 185,723,881 ",263700000," 2,490.00 ",35622.53731
Hyundai Creta Trend Automatic 2022,Hyundai,Creta,Trend,2022,Automatic,44," 220,250,000 "," 185,000,000 "," 202,625,000 ",299000000," 2,660.30 ",42852.27273
Honda CR-V Turbo Prestige Automatic 2020,Honda,CR-V,Turbo Prestige,2020,Automatic,59," 368,830,508 "," 345,000,000 "," 356,915,254 ",540000000," 3,329.37 ",58569.55932
Honda BR-V Prestige Honda Sensing Automatic 2022,Honda,BR-V,Prestige Honda Sensing,2022,Automatic,145," 236,200,690 "," 208,000,000 "," 222,100,345 ",346600000," 3,649.31 ",37979.7931
Honda Brio Satya E Automatic 2023,Honda,Brio,Satya E,2023,Automatic,146," 164,962,329 "," 139,000,000 "," 151,981,164 ",191900000," 2,536.83 ",20852.77397
Toyota Kijang Innova Venturer Automatic 2021,Toyota,Kijang Innova,Venturer,2021,Automatic,76," 419,427,632 "," 285,000,000 "," 352,213,816 ",494400000," 3,828.34 ",54697.36842
Toyota Kijang Innova Venturer Automatic 2019,Toyota,Kijang Innova,Venturer,2019,Automatic,44," 352,840,909 "," 285,000,000 "," 318,920,455 ",453750000," 1,854.16 ",91011.63636
Honda Mobilio E Automatic 2018,Honda,Mobilio,E,2018,Automatic,69," 149,057,971 "," 134,000,000 "," 141,528,986 ",217500000," 1,347.79 ",61953.26087
Hyundai Creta Prime Automatic 2023,Hyundai,Creta,Prime,2023,Automatic,101," 288,594,059 "," 235,000,000 "," 261,797,030 ",408300000," 7,074.42 ",24496.71287
Honda City RS Automatic 2023,Honda,City,RS,2023,Automatic,41," 250,121,951 "," 235,000,000 "," 242,560,976 ",373900000," 7,004.80 ",19829.26829
Mazda CX-3 Sport Automatic 2021,Mazda,CX-3,Sport,2021,Automatic,44," 272,772,727 "," 249,000,000 "," 260,886,364 ",339900000," 2,588.74 ",35113.63636
Honda HR-V E Automatic 2016,Honda,HR-V,E,2016,Automatic,61," 180,491,803 "," 145,000,000 "," 162,745,902 "," 297,000,000 "," 1,843.71 ",82442.62295
Honda HR-V E Special Edition Automatic 2019,Honda,HR-V,E Special Edition,2019,Automatic,54," 230,388,889 "," 189,000,000 "," 209,694,444 ",329500000," 2,904.39 ",48375.11111
Toyota Fortuner VRZ 4X2 Automatic 2021,Toyota,Fortuner,VRZ 4X2,2021,Automatic,43," 435,697,674 "," 385,000,000 "," 410,348,837 ",554700000," 2,899.05 ",58536.48837
Honda WR-V RS Honda Sensing Automatic 2023,Honda,WR-V,RS Honda Sensing,2023,Automatic,42," 244,880,952 "," 220,000,000 "," 232,440,476 ",309900000," 3,410.84 ",26357.14286
Hyundai Stargazer Prime Automatic 2022,Hyundai,Stargazer,Prime,2022,Automatic,142," 211,277,465 "," 188,000,000 "," 199,638,732 ",307100000," 3,911.48 ",30448.83803
Mitsubishi Xpander Cross Premium Automatic 2020,Mitsubishi,Xpander Cross,Premium,2020,Automatic,62," 224,064,355 "," 199,000,000 "," 211,532,177 ",289700000," 1,763.34 ",51436.40323
Mitsubishi Xpander Cross Premium Automatic 2023,Mitsubishi,Xpander Cross,Premium,2023,Automatic,91," 277,115,385 "," 245,000,000 "," 261,057,692 ",342650000," 5,519.35 ",17692.30769
Daihatsu Sigra D Manual 2023,Daihatsu,Sigra,D,2023,Manual,75," 108,546,667 "," 92,000,000 "," 100,273,333 ",135000000," 1,894.27 ",22700
Honda BR-V Prestige Automatic 2023,Honda,BR-V,Prestige,2023,Automatic,96," 244,479,167 "," 214,000,000 "," 229,239,583 ",335000000," 4,408.84 ",27444.83333
Honda BR-V E Automatic 2017,Honda,BR-V,E,2017,Automatic,48," 157,270,833 "," 128,000,000 "," 142,635,417 ",249500000," 1,520.92 ",79885.64583
Mitsubishi Xpander Ultimate Automatic 2019,Mitsubishi,Xpander,Ultimate,2019,Automatic,125," 201,316,072 "," 160,000,000 "," 180,658,036 ",265100000," 1,611.78 ",65207.28
BMW X5 xDrive40i xLine Automatic 2019,BMW,X5,xDrive40i xLine,2019,Automatic,46," 871,282,609 "," 599,000,000 "," 735,141,304 ",1489000000," 42,981.63 ",20706.52174
Toyota Veloz Q (Non Premium Color) Automatic 2022,Toyota,Veloz,Q (Non Premium Color),2022,Automatic,103," 226,242,718 "," 203,000,000 "," 214,621,359 ",291100000," 2,183.21 ",40353.36893
Suzuki XL7 Beta Automatic 2022,Suzuki,XL7,Beta,2022,Automatic,46," 202,728,261 "," 177,000,000 "," 189,864,130 ",270000000," 2,021.42 ",46007.19565
Toyota Fortuner VRZ TRD 4X2 Automatic 2020,Toyota,Fortuner,VRZ TRD 4X2,2020,Automatic,76," 424,881,579 "," 395,000,000 "," 409,940,789 ",535800000," 2,487.11 ",56611.84211
Honda CR-V Turbo Prestige Automatic 2019,Honda,CR-V,Turbo Prestige,2019,Automatic,94," 341,622,340 "," 297,000,000 "," 319,311,170 ",526400000," 3,268.54 ",70184.20213
Honda Jazz RS Automatic 2019,Honda,Jazz,RS,2019,Automatic,59," 224,457,627 "," 198,000,000 "," 211,228,814 ",279000000," 1,614.30 ",50176.44068
Honda HR-V E Automatic 2018,Honda,HR-V,E,2018,Automatic,66," 202,924,242 "," 177,000,000 "," 189,962,121 ",312000000," 2,079.10 ",64931.92424
Daihatsu Xenia R Automatic 2022,Daihatsu,Xenia,R,2022,Automatic,45," 189,355,556 "," 176,000,000 "," 182,677,778 ",245200000," 1,859.10 ",37222.22222
Honda Brio E Automatic 2018,Honda,Brio,E,2018,Automatic,85," 130,976,471 "," 115,000,000 "," 122,988,235 ",141000000, 379.73 ,68470.58824
Toyota Raize GR Sport (1 Tone) Automatic 2022,Toyota,Raize,GR Sport (1 Tone),2022,Automatic,52," 205,442,308 "," 178,000,000 "," 191,721,154 ",277600000," 3,430.01 ",29037.82692
Toyota Sienta V Automatic 2017,Toyota,Sienta,V,2017,Automatic,65," 157,176,923 "," 132,000,000 "," 144,588,462 ",262200000," 1,623.57 ",80193.75385
Toyota Avanza G Automatic 2020,Toyota,Avanza,G,2020,Automatic,58," 162,413,793 "," 139,000,000 "," 150,706,897 ",228050000," 1,195.44 ",74491.37931
Nissan Grand Livina XV Automatic 2017,Nissan,Grand Livina,XV,2017,Automatic,44," 131,534,091 "," 119,000,000 "," 125,267,045 ",237100000," 1,507.27 ",78353.36364
Toyota Fortuner VRZ 4X2 Automatic 2018,Toyota,Fortuner,VRZ 4X2,2018,Automatic,43," 373,209,302 "," 332,000,000 "," 352,604,651 ",510400000," 2,654.39 ",67209.30233
Toyota Fortuner GR Sport 4X2 Automatic 2022,Toyota,Fortuner,GR Sport 4X2,2022,Automatic,107," 491,864,486 "," 350,000,000 "," 420,932,243 ",590200000," 6,048.56 ",39711.91589
Toyota Fortuner VRZ 4X2 Automatic 2022,Toyota,Fortuner,VRZ 4X2,2022,Automatic,71," 467,760,563 "," 425,000,000 "," 446,380,282 ",566200000," 2,654.63 ",53190.14085
Toyota Kijang Innova V Automatic 2019,Toyota,Kijang Innova,V,2019,Automatic,56," 295,696,429 "," 213,000,000 "," 254,348,214 ",391050000," 2,412.48 ",73803.57143
Daihatsu Ayla M Manual 2024,Daihatsu,Ayla,M,2024,Manual,40," 115,700,000 "," 106,000,000 "," 110,850,000 ",148900000," 4,902.86 ",8750
Honda Brio Satya E Automatic 2017,Honda,Brio,Satya E,2017,Automatic,44," 124,428,409 "," 98,000,000 "," 111,214,205 ",147500000, 679.99 ,72795.45455
Toyota Kijang Innova G Automatic 2018,Toyota,Kijang Innova,G,2018,Automatic,47," 260,351,064 "," 170,000,000 "," 215,175,532 ",340600000," 2,074.67 ",82229.78723
Mitsubishi Xpander Cross Premium Automatic 2021,Mitsubishi,Xpander Cross,Premium,2021,Automatic,87," 230,511,494 "," 189,000,000 "," 209,755,747 ",314500000," 2,483.94 ",50524.50575
Toyota Calya G Automatic 2017,Toyota,Calya,G,2017,Automatic,48," 111,250,000 "," 85,000,000 "," 98,125,000 ",147600000, 785.43 ,79701.45833
Mercedes-Benz C250 AMG Automatic 2016,Mercedes-Benz,C250,AMG,2016,Automatic,61," 430,401,639 "," 375,000,000 "," 402,700,820 "," 909,000,000 "," 14,028.43 ",38065.55738
Toyota Alphard G Automatic 2015,Toyota,Alphard,G,2015,Automatic,59," 505,423,729 "," 289,000,000 "," 397,211,864 "," 904,700,000 "," 7,210.46 ",85389.83051
BMW X5 xDrive35i xLine Automatic 2017,BMW,X5,xDrive35i xLine,2017,Automatic,46," 519,086,957 "," 405,000,000 "," 462,043,478 ",1399000000," 24,211.81 ",41054.34783
Honda CR-V Turbo Prestige Automatic 2022,Honda,CR-V,Turbo Prestige,2022,Automatic,71," 449,788,732 "," 399,000,000 "," 424,394,366 ",668400000," 7,082.27 ",38038.66197
Toyota Veloz Q TSS (Premium Color) Automatic 2022,Toyota,Veloz,Q TSS (Premium Color),2022,Automatic,51," 234,598,039 "," 209,000,000 "," 221,799,020 ",314900000," 2,878.70 ",36787.43137
Honda HR-V Special Edition Automatic 2023,Honda,HR-V,Special Edition,2023,Automatic,104," 327,782,212 "," 299,000,000 "," 313,391,106 ",," 12,000.00 ",24014.30769
Toyota Rush TRD Sportivo Automatic 2019,Toyota,Rush,TRD Sportivo,2019,Automatic,62," 207,508,065 "," 180,000,000 "," 193,754,032 ",263650000," 1,181.12 ",70822.58065
Toyota Calya G Automatic 2022,Toyota,Calya,G,2022,Automatic,91," 140,806,593 "," 123,000,000 "," 131,903,297 ",174900000," 1,576.15 ",32928.37363
Toyota Vellfire G Automatic 2017,Toyota,Vellfire,G,2017,Automatic,48," 598,395,833 "," 495,000,000 "," 546,697,917 ",1096300000," 8,760.78 ",68635.41667
BMW X5 xDrive40i xLine Automatic 2020,BMW,X5,xDrive40i xLine,2020,Automatic,42," 863,000,000 "," 728,000,000 "," 795,500,000 ",1569000000," 31,750.11 ",26488.09524
Toyota Alphard G Automatic 2019,Toyota,Alphard,G,2019,Automatic,127," 759,559,055 "," 615,000,000 "," 687,279,528 ",1156350000," 11,740.41 ",46109.96063
Toyota Agya G Automatic 2023,Toyota,Agya,G,2023,Automatic,110," 152,009,091 "," 139,000,000 "," 145,504,545 ",175400000," 1,325.86 ",27453.86364
Mercedes-Benz C200 EQ Boost Avantgarde Line Automatic 2019,Mercedes-Benz,C200,EQ Boost Avantgarde Line,2019,Automatic,62," 453,887,097 "," 293,000,000 "," 373,443,548 ",845000000," 20,055.08 ",27524.19355
Toyota Rush TRD Sportivo Automatic 2020,Toyota,Rush,TRD Sportivo,2020,Automatic,54," 211,083,333 "," 185,000,000 "," 198,041,667 ",275650000," 1,808.97 ",50111.33333
Toyota Avanza Veloz Automatic 2021,Toyota,Avanza,Veloz,2021,Automatic,63," 187,096,825 "," 165,000,000 "," 176,048,413 ",228700000," 1,202.66 ",52965.90476
Hyundai IONIQ 5 Signature Long Range Automatic 2022,Hyundai,IONIQ 5,Signature Long Range,2022,Automatic,42," 468,809,524 "," 425,000,000 "," 446,904,762 ",829000000," 12,207.19 ",33095.2381
Honda CR-V Turbo Prestige Automatic 2021,Honda,CR-V,Turbo Prestige,2021,Automatic,108," 421,884,259 "," 349,000,000 "," 385,442,130 ",577000000," 5,143.51 ",44327.71296
Toyota Kijang Innova Zenix V HV Modellista (Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,V HV Modellista (Premium Color),2023,Automatic,42," 528,619,048 "," 273,000,000 "," 400,809,524 ",535750000," 10,515.83 ",24986.14286
Honda Brio Satya E Automatic 2018,Honda,Brio,Satya E,2018,Automatic,48," 129,927,083 "," 110,000,000 "," 119,963,542 ",146000000, 583.41 ,61706.27083
Honda Brio RS Automatic 2021,Honda,Brio,RS,2021,Automatic,105," 169,554,762 "," 136,000,000 "," 152,777,381 ",205700000," 1,833.73 ",38010.02857
Daihatsu Sigra R Automatic 2023,Daihatsu,Sigra,R,2023,Automatic,84," 137,690,476 "," 125,000,000 "," 131,345,238 ",173900000," 1,626.37 ",30067.02381
Daihatsu Sigra D Manual 2024,Daihatsu,Sigra,D,2024,Manual,60," 110,008,333 "," 92,000,000 "," 101,004,167 ",138000000," 3,136.36 ",14666.66667
Toyota Avanza G Automatic 2024,Toyota,Avanza,G,2024,Automatic,74," 220,182,432 "," 201,000,000 "," 210,591,216 ",272500000," 3,874.53 ",18453.83784
Daihatsu Ayla X Manual 2022,Daihatsu,Ayla,X,2022,Manual,46," 110,856,522 "," 98,000,000 "," 104,428,261 ",126300000, 813.57 ,34785
Toyota Calya G Manual 2019,Toyota,Calya,G,2019,Manual,61," 117,967,213 "," 100,000,000 "," 108,983,607 ",146400000, 713.13 ,65064.83607
BMW X1 sDrive18i xLine Automatic 2019,BMW,X1,sDrive18i xLine,2019,Automatic,60," 403,983,333 "," 300,000,000 "," 351,991,667 ",695000000," 11,145.08 ",35441.65
Toyota Avanza E Automatic 2023,Toyota,Avanza,E,2023,Automatic,58," 186,293,103 "," 133,000,000 "," 159,646,552 ",243800000," 3,616.74 ",30635.32759
Honda CR-V Turbo Prestige Automatic 2017,Honda,CR-V,Turbo Prestige,2017,Automatic,40," 316,850,000 "," 255,000,000 "," 285,925,000 ",508000000," 3,725.40 ",67912.25
Mercedes-Benz E300 AMG Line Automatic 2018,Mercedes-Benz,E300,AMG Line,2018,Automatic,47," 673,127,660 "," 439,000,000 "," 556,063,830 ",1379000000," 36,467.19 ",25776.59574
Toyota Fortuner VRZ 4X2 Automatic 2017,Toyota,Fortuner,VRZ 4X2,2017,Automatic,47," 359,053,191 "," 305,000,000 "," 332,026,596 ",504100000," 2,630.41 ",75691.48936
Toyota Kijang Innova Zenix V (Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,V (Premium Color),2023,Automatic,40," 467,337,500 "," 335,000,000 "," 401,168,750 ",470600000," 4,840.70 ",28012.5
Mitsubishi Pajero Sport Dakar 4X2 Automatic 2021,Mitsubishi,Pajero Sport,Dakar 4X2,2021,Automatic,56," 471,500,000 "," 420,000,000 "," 445,750,000 ",575700000," 3,252.18 ",47875.58929
Hyundai Creta Style Automatic 2022,Hyundai,Creta,Style,2022,Automatic,61," 243,975,410 "," 215,000,000 "," 229,487,705 ",359000000," 4,190.10 ",34366.70492
BMW 320i Luxury Automatic 2018,BMW,320i,Luxury,2018,Automatic,40," 359,300,000 "," 315,000,000 "," 337,150,000 ",749000000," 12,694.70 ",34187.5
Toyota Kijang Innova G Automatic 2022,Toyota,Kijang Innova,G,2022,Automatic,82," 318,146,341 "," 239,000,000 "," 278,573,171 ",402000000," 3,938.87 ",41382.43902
Honda HR-V Special Edition Automatic 2022,Honda,HR-V,Special Edition,2022,Automatic,49," 314,887,755 "," 210,000,000 "," 262,443,878 ",405100000," 6,014.41 ",32438.77551
Toyota Alphard G Automatic 2017,Toyota,Alphard,G,2017,Automatic,93," 609,112,903 "," 475,000,000 "," 542,056,452 ",1096300000," 9,954.50 ",62413.97849
Mitsubishi Pajero Sport Dakar 4x2 Automatic 2022,Mitsubishi,Pajero Sport,Dakar 4x2,2022,Automatic,75," 487,366,667 "," 425,000,000 "," 456,183,333 ",593700000," 4,782.65 ",35273.33333
Toyota Agya GR Sport Automatic 2022,Toyota,Agya,GR Sport,2022,Automatic,75," 143,060,000 "," 115,000,000 "," 129,030,000 ",175700000," 1,959.36 ",30979.46667
Toyota Veloz Q TSS (Non Premium Color) Automatic 2022,Toyota,Veloz,Q TSS (Non Premium Color),2022,Automatic,54," 236,703,704 "," 205,000,000 "," 220,851,852 ",312400000," 2,853.62 ",37636.35185
Toyota Corolla Cross Hybrid Automatic 2021,Toyota,Corolla Cross,Hybrid,2021,Automatic,40," 328,100,000 "," 295,000,000 "," 311,550,000 ",497800000," 3,619.45 ",56030.6
Toyota Fortuner VRZ TRD 4X2 Automatic 2021,Toyota,Fortuner,VRZ TRD 4X2,2021,Automatic,54," 441,055,556 "," 385,000,000 "," 413,027,778 ",568000000," 4,037.59 ",45324.07407
Mitsubishi Xpander Ultimate Automatic 2021,Mitsubishi,Xpander,Ultimate,2021,Automatic,69," 218,746,377 "," 186,000,000 "," 202,373,188 ",278900000," 1,659.97 ",55964.76812
Honda Brio Satya E Automatic 2024,Honda,Brio,Satya E,2024,Automatic,40," 171,372,500 "," 150,000,000 "," 160,686,250 ",198300000," 4,700.73 ",10275
Mazda CX-5 Elite Automatic 2019,Mazda,CX-5,Elite,2019,Automatic,48," 325,375,000 "," 250,000,000 "," 287,687,500 ",578800000," 6,756.16 ",48666.66667
Toyota Avanza G Automatic 2021,Toyota,Avanza,G,2021,Automatic,101," 175,400,990 "," 150,000,000 "," 162,700,495 ",220000000," 1,220.34 ",57361.17822
Honda Brio Satya E Automatic 2020,Honda,Brio,Satya E,2020,Automatic,40," 147,085,000 "," 126,000,000 "," 136,542,500 ",162600000, 728.48 ,50241.925
Toyota Kijang Innova Zenix V (Non Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,V (Non Premium Color),2023,Automatic,51," 393,607,843 "," 345,000,000 "," 369,303,922 ",467600000," 4,374.88 ",28023.60784
Toyota Veloz Q (Premium Color) Automatic 2022,Toyota,Veloz,Q (Premium Color),2022,Automatic,95," 227,210,526 "," 203,000,000 "," 215,105,263 ",292400000," 2,245.41 ",39814.54737
Honda WR-V RS Automatic 2023,Honda,WR-V,RS,2023,Automatic,59," 241,193,220 "," 199,900,000 "," 220,546,610 ",297900000," 4,176.24 ",23466.10169
Mitsubishi Xpander Ultimate Automatic 2023,Mitsubishi,Xpander,Ultimate,2023,Automatic,51," 244,921,569 "," 139,000,000 "," 191,960,784 ",312900000," 6,170.55 ",28182.2549
Toyota Veloz Q (Premium Color) Automatic 2023,Toyota,Veloz,Q (Premium Color),2023,Automatic,56," 236,535,714 "," 208,000,000 "," 222,267,857 ",305700000," 3,560.88 ",27437.05357
Honda HR-V E Automatic 2020,Honda,HR-V,E,2020,Automatic,42," 227,845,238 "," 205,000,000 "," 216,422,619 ",317800000," 1,740.91 ",64793.66667
Toyota Kijang Innova Venturer Automatic 2022,Toyota,Kijang Innova,Venturer,2022,Automatic,59," 455,889,831 "," 345,000,000 "," 400,444,915 ",510300000," 4,294.25 ",38493.33898
BMW X1 sDrive18i xLine Automatic 2018,BMW,X1,sDrive18i xLine,2018,Automatic,53," 351,830,189 "," 285,000,000 "," 318,415,094 ",669000000," 9,575.16 ",40103.77358
Toyota Calya G Manual 2018,Toyota,Calya,G,2018,Manual,40," 112,975,000 "," 85,000,000 "," 98,987,500 ",140150000, 820.23 ,67237.5
Suzuki Ignis GX Automatic 2018,Suzuki,Ignis,GX,2018,Automatic,47," 126,893,617 "," 115,000,000 "," 120,946,809 ",159500000, 599.60 ,74215.87234
Mercedes-Benz GLC200 AMG Line Automatic 2020,Mercedes-Benz,GLC200,AMG Line,2020,Automatic,69," 708,826,087 "," 525,000,000 "," 616,913,043 ",995000000," 17,697.14 ",26557.97101
